Ward,Division,Address,latitude,longitude,Name,Building Accessibility,Parking Accessibility
65.0,6.0,8001 TORRESDALE AVE,40.0350156037413,-75.024382182745,NEW FOUNDATIONS CHARTER SCHOOL,F,L
65.0,7.0,5200 LINDEN AVE,40.038834888181,-75.000717486137,LIBERTY EVANGELICAL CHURCH,M,L
65.0,8.0,8001 TORRESDALE AVE,40.0350156037413,-75.024382182745,NEW FOUNDATIONS CHARTER SCHOOL,F,N
65.0,9.0,8001 TORRESDALE AVE,40.0350156037413,-75.024382182745,NEW FOUNDATIONS CHARTER SCHOOL,F,N
65.0,10.0,STEVENSON & FRANKFORD AVE,40.0616331714107,-74.9883890219233,HOLY FAMILY EDUC TECH CTR,F,L
65.0,11.0,8001 TORRESDALE AVE,40.0350156037413,-75.024382182745,NEW FOUNDATIONS CHARTER SCHOOL,F,N
65.0,12.0,7212 KEYSTONE ST,40.0271312458126,-75.0342624184201,HOPE CHURCH HALL,M,L
65.0,13.0,4741 FRIENDSHIP ST,40.0280234053752,-75.0369168461834,TACONY & MAYFAIR SONS OF ITALY,M,N
65.0,14.0,COTTMAN & TORRESDALE AVES,40.0301174519283,-75.0351705092631,ST HUBERTS HIGH SCHOOL,R,N
65.0,15.0,7756 DITMAN ST,40.0349191249047,-75.028884364356,HOLMESBURG YOUTH CLUB,M,N
65.0,16.0,DITMAN & RHAWN STS,40.036256995388,-75.025863837379,HOLMESBURG RECREATION CENTER,F,L
65.0,17.0,DITMAN & RHAWN STS,40.036256995388,-75.025863837379,HOLMESBURG RECREATION CENTER,F,L
65.0,18.0,7811 FRANKFORD AVE,40.0403381315204,-75.0302892887271,FOUNTAIN OF LIFE CHURCH,M,N
65.0,19.0,7811 FRANKFORD AVE,40.0403381315204,-75.0302892887271,FOUNTAIN OF LIFE CHURCH,M,N
65.0,20.0,9355 STATE RD,40.0454193822243,-74.9861208895642,DELAIRE LANDING COMPLEX,B,L
65.0,21.0,7811 FRANKFORD AVE,40.0403381315204,-75.0302892887271,FOUNTAIN OF LIFE CHURCH,M,N
65.0,22.0,7756 DITMAN ST,40.0349191249047,-75.028884364356,HOLMESBURG YOUTH CLUB,M,N
